Name,Replicate,Colonization,Mass
B1,1,CL,1.6
B2,1,CL,1.5
B3,1,CL,1
B4,1,CL,1.4
B5,1,CL,1.3
B6,1,CL,1.7
B7,1,CL,1.6
B8,1,CL,1.5
B9,1,CL,1.7
B10,1,CL,1.5
B11,1,MD,1.8
B12,1,MD,1.4
B13,1,MD,1.3
B14,1,MD,0.5
B15,1,MD,1.5
B16,1,MD,1.6
B17,1,MD,1.5
B18,1,MD,1.7
B19,1,MD,1.7
B20,1,MD,1.3
B22,2,CL,1.4
B23,2,CL,1.6
B24,2,CL,1.4
B25,2,CL,1.6
B26,2,CL,1.4
B27,2,CL,1.2
B28,2,CL,1
B29,2,CL,1.1
B30,2,CL,1.5
B31,2,CL,1.5
B32,2,MD,1.6
B33,2,MD,1.3
B34,2,MD,1.5
B35,2,MD,1.5
B36,2,MD,1.8
B37,2,MD,1.4
B38,2,MD,1.4
B39,2,MD,1.5
B40,2,MD,1.3
B41,2,MD,1.3
B43,3,MD,1.3
B44,3,MD,1.3
B45,3,MD,0.6
B46,3,MD,1.3
B47,3,MD,1.3
B48,3,MD,0.9
B49,3,MD,1.4
B50,3,MD,1.4
B51,3,MD,1.3
B52,3,MD,1.3
B53,3,CL,1.3
B54,3,CL,1.2
B55,3,CL,1.4
B56,3,CL,1.5
B57,3,CL,1.5
B58,3,CL,1.4
B59,3,CL,1.6
B60,3,CL,1.4
B61,3,CL,1.3
B62,3,CL,1.4
B64,4,CL,1.5
B65,4,CL,1.4
B66,4,CL,1.5
B67,4,CL,1.3
B68,4,CL,1.1
B69,4,CL,1.4
B70,4,CL,1.4
B71,4,CL,1.6
B72,4,CL,1.3
B73,4,CL,1.3
B74,4,MD,1.4
B75,4,MD,1.3
B76,4,MD,1.4
B77,4,MD,1.5
B78,4,MD,1.4
B79,4,MD,1.3
B80,4,MD,1.2
B81,4,MD,1.6
B82,4,MD,1.4
B83,4,MD,1.3
Reagent_Blank_1,1,None,
Deriv_Blank_1a,1,None,
Reagent_Blank_2,3,None,
Reagent_Blank_3,3,None,
B85,5,MD,1.5
B86,5,MD,1.6
B87,5,MD,1.4
B88,5,MD,1.4
B89,5,MD,1.4
B90,5,MD,1.3
B91,5,MD,1.4
B92,5,MD,1.5
B93,5,MD,1.4
B94,5,MD,1.5
B95,5,CL,1.5
B96,5,CL,1.5
B97,5,CL,1.3
B98,5,CL,1.6
B99,5,CL,1.1
B100,5,CL,1.1
B101,5,CL,1.4
B102,5,CL,1.5
B103,5,CL,1.3
B104,5,CL,1.4
B106,6,MD,1.3
B107,6,MD,1.1
B108,6,MD,1.4
B109,6,MD,1.2
B110,6,MD,1.5
B111,6,MD,1.5
B112,6,MD,1.5
B113,6,MD,1.5
B114,6,MD,1.4
B115,6,MD,1.6
B116,6,CL,1.5
B117,6,CL,1.3
B118,6,CL,1.2
B119,6,CL,1.1
B120,6,CL,1.1
B121,6,CL,1.2
B122,6,CL,1.4
B123,6,CL,1.3
B124,6,CL,1.5
B125,6,CL,1.3
B127,7,MD,1.2
B128,7,MD,1.4
B129,7,MD,1.4
B130,7,MD,1.3
B131,7,MD,1.4
B132,7,MD,1.2
B133,7,MD,1.4
B134,7,MD,1.4
B135,7,MD,1.5
B136,7,MD,1.5
B137,7,CL,1.4
B138,7,CL,1.4
B139,7,CL,1.4
B140,7,CL,1.4
B141,7,CL,1.5
B142,7,CL,1.5
B143,7,CL,1.6
B144,7,CL,1.5
B145,7,CL,1.4
B146,7,CL,1.2
B148,8,MD,1.3
B149,8,MD,1.2
B150,8,MD,1.5
B151,8,MD,1.5
B152,8,MD,1.4
B153,8,MD,1.2
B154,8,MD,1.4
B155,8,MD,1.2
B156,8,MD,1.4
B157,8,MD,1.2
B158,8,CL,1.5
B159,8,CL,1.2
B160,8,CL,1.4
B161,8,CL,1.5
B162,8,CL,1.4
B163,8,CL,1.5
B164,8,CL,1.4
B165,8,CL,1.4
B166,8,CL,1.5
B167,8,CL,1.5
B169,9,MD,1.5
B170,9,MD,1.5
B171,9,MD,1.4
B172,9,MD,1.3
B173,9,MD,1.2
B174,9,MD,1.6
B175,9,MD,1.5
B176,9,MD,1.3
B177,9,MD,1.4
B178,9,MD,1.2
B179,9,CL,1.4
B180,9,CL,1.4
B181,9,CL,1.7
B182,9,CL,1.5
B183,9,CL,1.4
B184,9,CL,1.4
B185,9,CL,1.3
B186,9,CL,1.2
B187,9,CL,1.5
B188,9,CL,1.3
